sampleId	celltype	cell Type Description	cell_lineage	tissue	treatment	immunophenotype	species	strain	sampleCode	RNA.Id	batch	firstPublished	cellOrder
SplPlsB.1	SplPlsB	Splenic plasmablasts	B Cell Lineage	Spleen	none	CD138/Syndecan1:+ Blimp1:-GFP:-lo	Murine	C57BL/6 Blimp-GFP	GSE60927.SRR1561649	SRR1561649	GSE60927	Shi et al, 2015; 25894659	6
SplPlsC.1	SplPlsC	Splenic plasma cells	B Cell Lineage	Spleen	none	CD138/Syndecan1:+ Blimp1:-GFP:-hi	Murine	C57BL/6 Blimp-GFP	GSE60927.SRR1561650	SRR1561650	GSE60927	Shi et al, 2015; 25894659	7
SplPlsC.2	SplPlsC	Splenic plasma cells	B Cell Lineage	Spleen	none	CD138/Syndecan1:+ Blimp1:-GFP:-hi	Murine	C57BL/6 Blimp-GFP	GSE60927.SRR1561651	SRR1561651	GSE60927	Shi et al, 2015; 25894659	7
SplPlsC.3	SplPlsC	Splenic plasma cells	B Cell Lineage	Spleen	none	CD138/Syndecan1:+ Blimp1:-GFP:-hi	Murine	C57BL/6 Blimp-GFP	GSE60927.SRR1561652	SRR1561652	GSE60927	Shi et al, 2015; 25894659	7
BMPlsC.1	BMPlsC	Bone marrow plasma cells	B Cell Lineage	Bone marrow	none	CD138/Syndecan1:+ Blimp1:-GFP:-hi	Murine	C57BL/6 Blimp-GFP	GSE60927.SRR1561653	SRR1561653	GSE60927	Shi et al, 2015; 25894659	8
BasoBM.1	BasoBM	Bone Marrow Basophil	Basophil Lineage	BM Crush	none	CD49b:+ cKit:- FceR1:+ CD45:+ CD123:+ CD16/32:+ Ly6G:- Gr-1:- B220:- F4/80:-	Murine	C57BL/6	CAGRF11700.1502	1502	CAGRF11700		1
BasoBM.2	BasoBM	Bone Marrow Basophil	Basophil Lineage	BM Crush	none	CD49b:+ cKit:- FceR1:+ CD45:+ CD123:+ CD16/32:+ Ly6G:- Gr-1:- B220:- F4/80:-	Murine	C57BL/6	CAGRF11700.1503	1503	CAGRF11700		1
BasoSpl.1	BasoSpl	Splenic Basophil	Basophil Lineage	Spleen	none	CD49b:+ cKit:- FceR1:+ Ly6G:- Gr-1:- CD16/32:+	Murine	C57BL/6	CAGRF9188.1460	1460	CAGRF9188		2
BasoCult.1	BasoCult	Cultured Basophil	Basophil Lineage	BM	day 10 BM culture with SCF + IL-3	Gr-1:- cKit:- CD49b:+ FcepsilonR1:+	Murine	C57BL/6	CAGRF7126.1213	1213	CAGRF7126		3
BasoCult.2	BasoCult	Cultured Basophil	Basophil Lineage	BM	day 10 BM culture with SCF + IL-3	Gr-1:- cKit:- CD49b:+ FcepsilonR1:+	Murine	C57BL/6	CAGRF7126.1332	1332	CAGRF7126		3
cDC2.1	cDC2	Conventional DC type 2	Dendritic Cell Lineage	Spleen	none	CD11c:+ 120G8:- Sirp alpha:+ CD8alpha:- F4/80:- or Lo	Murine	C57BL/6	CAGRF11700.1545	1545	CAGRF11700		1
cDC2.2	cDC2	Conventional DC type 2	Dendritic Cell Lineage	Spleen	none	CD11c:+ 120G8:- Sirp alpha:+ CD8alpha:- F4/80:- or Lo	Murine	C57BL/6	CAGRF11700.1546	1546	CAGRF11700		1
pDC.1	pDC	Plasmacytoid DC	Dendritic Cell Lineage	Spleen	none	CD11c:+ 120G8:+ F4/80:-	Murine	C57BL/6	CAGRF11700.1543	1543	CAGRF11700	Marsman et al, 2018; 29870118	2
pDC.2	pDC	Plasmacytoid DC	Dendritic Cell Lineage	Spleen	none	CD11c:+ 120G8:+ F4/80:-	Murine	C57BL/6	CAGRF11700.1544	1544	CAGRF11700	Marsman et al, 2018; 29870118	2
EoP.1	EoP	Eosinophil Progenitor	Eosinophil Lineage	BM	none	Lin:- cKit:- Sca1:- CD150:- CD16/32:Hi CD34:+ IL-5ra:+	Murine	C57BL/6	CAGRF7126.1375	1375	CAGRF7126	Bolden et al, 2018; 29645346	1
EoP.2	EoP	Eosinophil Progenitor	Eosinophil Lineage	BM	none	Lin:- cKit:- Sca1:- CD150:- CD16/32:Hi CD34:+ IL-5ra:+	Murine	C57BL/6	CAGRF7126.1376	1376	CAGRF7126	Bolden et al, 2018; 29645346	1
Eo.1	Eo	Eosinophil	Eosinophil Lineage	BM	none	IL-5:lo, Ly6G:-, Siglec-F+	Murine	C57BL/6	CAGRF7126.1260	1260	CAGRF7126	Bolden et al, 2018; 29645346	2
Eo.2	Eo	Eosinophil	Eosinophil Lineage	BM	none	IL-5:Lo Ly6G:+ Siglec-F:+ Ly6C:+ Ter119:- CD4:- CD8:- CD19:- B220:-	Murine	C57BL/6	CAGRF9188.1422	1422	CAGRF9188	Bolden et al, 2018; 29645346	2
Eo.3	Eo	Eosinophil	Eosinophil Lineage	BM	none	IL-5:Lo Ly6G:+ Siglec-F:+ Ly6C:+ Ter119:- CD4:- CD8:- CD19:- B220:-	Murine	C57BL/6	CAGRF9188.1423	1423	CAGRF9188	Bolden et al, 2018; 29645346	2
EoSSCLo.1	EoSSCLo	Eosinophil Low Side Scatter	Eosinophil Lineage	BM	none	SiglecF:+ IL5raIntSSC:Lo	Murine	C57BL/6	CAGRF11700.1557	1557	CAGRF11700		3
EoSSCLo.2	EoSSCLo	Eosinophil Low Side Scatter	Eosinophil Lineage	BM	none	SiglecF:+ IL5raIntSSC:Lo	Murine	C57BL/6	CAGRF11700.1558	1558	CAGRF11700		3
EoSSCLo.3	EoSSCLo	Eosinophil Low Side Scatter	Eosinophil Lineage	BM	none	SiglecF:+ IL5raIntSSC:Lo	Murine	C57BL/6	CAGRF11700.1567	1567	CAGRF11700		3
EoSSCLo.4	EoSSCLo	Eosinophil Low Side Scatter	Eosinophil Lineage	BM	none	PI:- CD4:- CD8:- CD19:- B220:- Ter119:- Ly6C:+/- SiglecF:+ Ly6G:- SSC-A:Lo (30% Eos)	Murine	C57BL/6	CAGRF11700.1633	1633	CAGRF11700		3
EoSSCLo.5	EoSSCLo	Eosinophil Low Side Scatter	Eosinophil Lineage	BM	none	PI:- CD4:- CD8:- CD19:- B220:- Ter119:- Ly6C:+/- SiglecF:+ Ly6G:- SSC-A:Lo (30% Eos)	Murine	C57BL/6	CAGRF11700.1634	1634	CAGRF11700		3
EoSSCHi.1	EoSSCHi	Eosinophil High Side Scatter	Eosinophil Lineage	BM	none	SiglecF:+ IL5raIntSSC:Hi	Murine	C57BL/6	CAGRF11700.1556	1556	CAGRF11700		4
EoSSCHi.2	EoSSCHi	Eosinophil High Side Scatter	Eosinophil Lineage	BM	none	SiglecF:+ IL5raIntSSC:Hi	Murine	C57BL/6	CAGRF11700.1560	1560	CAGRF11700		4
EoSSCHi.3	EoSSCHi	Eosinophil High Side Scatter	Eosinophil Lineage	BM	none	SiglecF:+ IL5raIntSSC:Hi	Murine	C57BL/6	CAGRF11700.1568	1568	CAGRF11700		4
EoSSCHi.4	EoSSCHi	Eosinophil High Side Scatter	Eosinophil Lineage	BM	none	SiglecF:+ IL5raIntSSC:Hi	Murine	C57BL/6	CAGRF11700.1571	1571	CAGRF11700		4
EoSSCHi.5	EoSSCHi	Eosinophil High Side Scatter	Eosinophil Lineage	BM	none	SiglecF:+ IL5raIntSSC:Hi	Murine	C57BL/6	CAGRF11700.1576	1576	CAGRF11700		4
EoSSCHi.6	EoSSCHi	Eosinophil High Side Scatter	Eosinophil Lineage	BM	none	PI:- CD4:- CD8:- CD19:- B220:- Ter119:- Ly6C:+/- SiglecF:+ Ly6G:- SSC-A:Hi (30% Eos)	Murine	C57BL/6	CAGRF11700.1632	1632	CAGRF11700		4
EoCult.1	EoCult	Cultured Eosinophil	Eosinophil Lineage	Fetal liver	Cultured Fetal liver	SiglecF:+	Murine	C57BL/6	CAGRF11700.1596	1596	CAGRF11700		5
EoCult.2	EoCult	Cultured Eosinophil	Eosinophil Lineage	Fetal liver	Cultured Fetal liver	SiglecF:+	Murine	C57BL/6	CAGRF11700.1597	1597	CAGRF11700		5
PreCFUE.1	PreCFUE	Pre Erythroid Colony Forming Unit	Erythrocyte Lineage	BM (Crush)	none	Lin- cKit+ Sca1- CD150- FcgRII/III (CD16/32)- Endoglinhi	Murine	C57BL/6	CAGRF7126.1217	1217	CAGRF7126		1
PreCFUE.2	PreCFUE	Pre Erythroid Colony Forming Unit	Erythrocyte Lineage	BM (Crush)	none	Lin- cKit+ Sca1- CD150- FcgRII/III (CD16/32)- Endoglinhi	Murine	C57BL/6	CAGRF7126.1229	1229	CAGRF7126		1
MEP.1	MEP	Megakaryocyte Erythrocyte Progenitor	Erythrocyte Lineage	BM	none	Lin:- cKit:- Sca1:- CD16/32:- CD34:- IL-5ra:-	Murine	C57BL/6	CAGRF9188.1369	1369	CAGRF9188		2
MEP.2	MEP	Megakaryocyte Erythrocyte Progenitor	Erythrocyte Lineage	BM	none	Lin:- cKit:- Sca1:- CD16/32:- CD34:- IL-5ra:-	Murine	C57BL/6	CAGRF9188.1370	1370	CAGRF9188		2
CFUE.1	CFUE	Erythroid Colony Forming Unit	Erythrocyte Lineage	BM (Crush)	none	Lin- cKit+ Sca1- CD150- FcgRII/III (CD16/32)- Endoglinhi	Murine	C57BL/6	CAGRF7126.1222	1222	CAGRF7126		3
CFUE.2	CFUE	Erythroid Colony Forming Unit	Erythrocyte Lineage	BM (Crush)	none	Lin- cKit+ Sca1- CD150- FcgRII/III (CD16/32)- Endoglinhi	Murine	C57BL/6	CAGRF7126.1223	1223	CAGRF7126		3
EryBlPB.1	EryBlPB	Polychromatic erythroblasts (some Basophillic erythroblasts)	Erythrocyte Lineage	BM	none	Ter119+ CD44+ FSC:Hi CD3- CD4- CD8- CD19- Mac1- Gr1-	Murine	C57BL/6	CAGRF9188.1409_1465	1409_1465	CAGRF9188		4
EryBlPB.2	EryBlPB	Polychromatic erythroblasts (some Basophillic erythroblasts)	Erythrocyte Lineage	BM	none	Ter119+ CD44+ FSC:Hi CD3- CD4- CD8- CD19- Mac1- Gr1-	Murine	C57BL/6	CAGRF9188.1410	1410	CAGRF9188		4
EryBlPB.3	EryBlPB	Polychromatic erythroblasts (some Basophillic erythroblasts)	Erythrocyte Lineage	BM	none	Ter119+ CD44+ FSC:Hi CD3- CD4- CD8- CD19- Mac1- Gr1-	Murine	C57BL/6	CAGRF9188.1472	1472	CAGRF9188		4
EryBlPO.1	EryBlPO	Polychromatic erythroblasts (some Orthochromatic erythroblasts)	Erythrocyte Lineage	BM	none	Ter119+ CD44+ FSC:Mid CD3- CD4- CD8- CD19- Mac1- Gr1-	Murine	C57BL/6	CAGRF9188.1408_1463	1408_1463	CAGRF9188		5
EryBlPO.2	EryBlPO	Polychromatic erythroblasts (some Orthochromatic erythroblasts)	Erythrocyte Lineage	BM	none	Ter119+ CD44+ FSC:Mid CD3- CD4- CD8- CD19- Mac1- Gr1-	Murine	C57BL/6	CAGRF9188.1462	1462	CAGRF9188		5
EryBlPO.3	EryBlPO	Polychromatic erythroblasts (some Orthochromatic erythroblasts)	Erythrocyte Lineage	BM	none	Ter119+ CD44+ FSC:Mid CD3- CD4- CD8- CD19- Mac1- Gr1-	Murine	C57BL/6	CAGRF9188.1471	1471	CAGRF9188		5
Retic.1	Retic	Reticulocyte	Erythrocyte Lineage	BM	none	Ter119+ CD44weak FSC:Low CD3- CD4- CD8- CD19- Mac1- Gr1-	Murine	C57BL/6	CAGRF9188.1428	1428	CAGRF9188		6
Retic.2	Retic	Reticulocyte	Erythrocyte Lineage	BM	none	Ter119+ CD44weak FSC:Low CD3- CD4- CD8- CD19- Mac1- Gr1-	Murine	C57BL/6	CAGRF9188.1445	1445	CAGRF9188		6
Retic.3	Retic	Reticulocyte	Erythrocyte Lineage	BM	none	Ter119+ CD44weak FSC:Low CD3- CD4- CD8- CD19- Mac1- Gr1-	Murine	C57BL/6	CAGRF9188.1446	1446	CAGRF9188		6
MonoBM.1	MonoBM	Total Monocyte Bone Marrow	Macrophage Lineage	BM	none	Ly6G:- Ly6C:Hi CD115:+ F4/80:Lo	Murine	C57BL/6	CAGRF9188.1333	1333	CAGRF9188		1
MonoBM.2	MonoBM	Total Monocyte Bone Marrow	Macrophage Lineage	BM	none	Ly6G:- Ly6C:Hi CD115:+ F4/80:Lo	Murine	C57BL/6	CAGRF9188.1334	1334	CAGRF9188		1
MonoPB.1	MonoPB	Total Monocyte Peripheral Blood	Macrophage Lineage	Blood	none	Mac-1:+ Ly6C:Hi CD115:+ F4/80:Lo Ter119:- SiglecF:- Ly6G:- B220:- CD4:- CD8:-	Murine	C57BL/6	CAGRF7126.1414	1414	CAGRF7126		2
MonoPB.2	MonoPB	Total Monocyte Peripheral Blood	Macrophage Lineage	Blood	none	Mac-1:+ Ly6C:Hi CD115:+ F4/80:Lo Ter119:- SiglecF:- Ly6G:- B220:- CD4:- CD8:-	Murine	C57BL/6	CAGRF7126.1415	1415	CAGRF7126		2
Mac.1	Mac	Macrophage	Macrophage Lineage	Peritoneal	none	F4/80:+, Mac-1:+, B220:-, CD19;-, Ter119:-	Murine	C57BL/6	CAGRF7126.1282	1282	CAGRF7126		3
Mac.2	Mac	Macrophage	Macrophage Lineage	Peritoneal	none	F4/80:+, Mac-1:+, B220:-, CD19;-, Ter119:-	Murine	C57BL/6	CAGRF7126.1286	1286	CAGRF7126		3
InfMono.1	InfMono	Inflammatory Monocyte	Macrophage Lineage	BM	none	IgG:Lo Ly6C:Hi CD115:+ Ly6G:- CD11c:- CD62L:+	Murine	C57BL/6	CAGRF9188.1390	1390	CAGRF9188		4
InfMono.2	InfMono	Inflammatory Monocyte	Macrophage Lineage	BM	none	IgG:Lo Ly6C:Hi CD115:+ Ly6G:- CD11c:- CD62L:+	Murine	C57BL/6	CAGRF9188.1392	1392	CAGRF9188		4
MacCult.1	MacCult	Mac1+ F4/80+ cultured macrophage	Macrophage Lineage	Fetal liver	Day5 Cultured M-CSF Fetal liver	Mac1:+ F4/80:+	Murine	C57BL/6	CAGRF11700.1599	1599	CAGRF11700		5
MacCult.2	MacCult	Mac1+ F4/80+ cultured macrophage	Macrophage Lineage	Fetal liver	Day5 Cultured M-CSF Fetal liver	Mac1:+ F4/80:+	Murine	C57BL/6	CAGRF11700.1600	1600	CAGRF11700		5
MacCult.3	MacCult	Mac1+ F4/80+ cultured macrophage	Macrophage Lineage	Fetal liver	Day5 Cultured M-CSF Fetal liver	Mac1:+ F4/80:+	Murine	C57BL/6	CAGRF11700.1610	1610	CAGRF11700		5
Mast.1	Mast	Mast Cell	Mast Cell Lineage	Peritoneal	none	cKit:+ Mac1:- CD19:- Ter119:- F4/80:- B220:- Fc_RI:+	Murine	C57BL/6	CAGRF7126.1413	1413	CAGRF7126		1
Mast.2	Mast	Mast Cell	Mast Cell Lineage	Peritoneal	none	cKit+, Mac-1-, CD19-, Ter119-, F4/80-, B220-, IgE+, Fc_RI+	Murine	C57BL/6	CAGRF9188.1246_1248_1289	1246_1248_1289	CAGRF9188		1
MegTPO.1	MegTPO	Megakaryocyte fromTPO culture	Megakaryocyte Lineage	BM	day 3 BM culture with TPO	Lin:- cKit:+ Sca1:- CD150:+	Murine	C57BL/6	CAGRF7658.1338	1338	CAGRF7658		2
MegTPO.2	MegTPO	Megakaryocyte fromTPO culture	Megakaryocyte Lineage	BM	day 3 BM culture with TPO	Lin:- cKit:+ Sca1:- CD150:+	Murine	C57BL/6	CAGRF7658.1339	1339	CAGRF7658		2
STHSC.1	STHSC	Short Term HSC	Multi Potential Progenitor	BM	none	Lin:- cKit:+ Sca1:- CD34:+ CD135(Flt3):-	Murine	C57BL/6	CAGRF9188.1399	1399	CAGRF9188		1
STHSC.2	STHSC	Short Term HSC	Multi Potential Progenitor	BM	none	Lin:- cKit:+ Sca1:- CD34:+ CD135(Flt3):-	Murine	C57BL/6	CAGRF9188.1400	1400	CAGRF9188		1
LSK.1	LSK	Lineage Negative Sca+ Kit+ Multi Potential Progenitor	Multi Potential Progenitor	BM (Crush)	none	Lin- cKit+ Sca1-	Murine	C57BL/6	CAGRF7126.1232	1232	CAGRF7126		2
LSK.2	LSK	Lineage Negative Sca+ Kit+ Multi Potential Progenitor	Multi Potential Progenitor	BM	none	Lin- cKit+ Sca1+	Murine	C57BL/6	CAGRF7126.1294	1294	CAGRF7126		2
MPP.1	MPP	Multi Potential Progenitor	Multi Potential Progenitor	BM	none	Lin:- cKit:+ Sca1:- CD34:+ CD135(Flt3):+	Murine	C57BL/6	CAGRF9188.1395	1395	CAGRF9188		3
MPP.2	MPP	Multi Potential Progenitor	Multi Potential Progenitor	BM	none	Lin:- cKit:+ Sca1:- CD34:+ CD135(Flt3):+	Murine	C57BL/6	CAGRF9188.1396	1396	CAGRF9188		3
NeutBM.1	NeutBM	Bone Marrow Neutrophil	Neutrophil Lineage	BM	none	IL-5:hi, Ly6G:hi, Siglec-F-	Murine	C57BL/6	CAGRF7126.1249	1249	CAGRF7126		1
NeutBM.2	NeutBM	Bone Marrow Neutrophil	Neutrophil Lineage	BM	none	IL-5:hi, Ly6G:hi, Siglec-F-	Murine	C57BL/6	CAGRF7126.1250	1250	CAGRF7126		1
NeutPB.1	NeutPB	Peripheral Blood Neutrophil	Neutrophil Lineage	Peripheral Blood	none	IL-5:Hi Ly6G:Hi Siglec-F:lo Ly6C:+	Murine	C57BL/6	CAGRF9188.1420	1420	CAGRF9188		2
NeutPB.2	NeutPB	Peripheral Blood Neutrophil	Neutrophil Lineage	Peripheral Blood	none	IL-5:Hi Ly6G:Hi Siglec-F:lo Ly6C:+  B220:- CD4:- CD8:- CD19:- Ter119:-	Murine	C57BL/6	CAGRF9188.1438	1438	CAGRF9188		2
NeutPB.3	NeutPB	Peripheral Blood Neutrophil	Neutrophil Lineage	Peripheral Blood	none	IL-5:+ Ly6G:Hi Siglec-F:lo Ly6C:+ B220:- CD4:- CD8:- CD19:- Ter119:- F4/80:-	Murine	C57BL/6	CAGRF11700.1535	1535	CAGRF11700		2
NeutPB.4	NeutPB	Peripheral Blood Neutrophil	Neutrophil Lineage	Peripheral Blood	none	IL-5:+ Ly6G:Hi Siglec-F:lo Ly6C:+ B220:- CD4:- CD8:- CD19:- Ter119:- F4/80:-	Murine	C57BL/6	CAGRF11700.1536	1536	CAGRF11700		2
NK.1	NK	Mature Natural Killer Cell	NK Cell Lineage	Spleen	none	NK1.1:+ Mac-1:+ MHCcII:- CD3_:- CD11c:- B220:-  CD4:- CD8:- CD19:- F4/80:- Ter119:- Ly6G:- FSC-A:Lo & SSC-A:Lo	Murine	C57BL/6	CAGRF11700.1523	1523	CAGRF11700		1
NK.2	NK	Mature Natural Killer Cell	NK Cell Lineage	Spleen	none	NK1.1:+ Mac-1:+ MHCcII:- CD3_:- CD11c:- B220:-  CD4:- CD8:- CD19:- F4/80:- Ter119:- Ly6G:- FSC-A:Lo & SSC-A:Lo	Murine	C57BL/6	CAGRF11700.1524	1524	CAGRF11700		1
CMP.1	CMP	Common Myeloid Progenitor	Restricted Potential Progenitor	BM	none	Lin:- cKit:- Sca1:-  CD16/32:+ CD34:+ IL-5ra:-	Murine	C57BL/6	CAGRF9188.1371	1371	CAGRF9188	Bolden et al, 2018; 29645346	1
CMP.2	CMP	Common Myeloid Progenitor	Restricted Potential Progenitor	BM	none	Lin:- cKit:- Sca1:-  CD16/32:+ CD34:+ IL-5ra:-	Murine	C57BL/6	CAGRF9188.1373	1373	CAGRF9188	Bolden et al, 2018; 29645346	1
PreGMFlt3Neg.1	PreGMFlt3Neg	Flt3- Pre Granulocyte Macrophage Progenitor	Restricted Potential Progenitor	Bone Marrow	none	Lin:- cKit:+ Sca1:- CD150:- FcgRII/III (CD16/32):- Endoglin:- Flt3:-	Murine	C57BL/6	CAGRF13029.1224	1224	CAGRF13029		2
PreGMFlt3Neg.2	PreGMFlt3Neg	Flt3- Pre Granulocyte Macrophage Progenitor	Restricted Potential Progenitor	Bone Marrow	none	Lin:- cKit:+ Sca1:- CD150:- FcgRII/III (CD16/32):- Endoglin:- Flt3:-	Murine	C57BL/6	CAGRF13029.1225	1225	CAGRF13029		2
PreGMFlt3Pos.1	PreGMFlt3Pos	Flt3+ Pre Granulocyte Macrophage Progenitor	Restricted Potential Progenitor	Bone Marrow	none	Lin:- cKit:+ Sca1:- CD150:- FcgRII/III (CD16/32):- Endoglin:- Flt3:+	Murine	C57BL/6	CAGRF13029.1226	1226	CAGRF13029		3
PreGMFlt3Pos.2	PreGMFlt3Pos	Flt3+ Pre Granulocyte Macrophage Progenitor	Restricted Potential Progenitor	Bone Marrow	none	Lin:- cKit:+ Sca1:- CD150:- FcgRII/III (CD16/32):- Endoglin:- Flt3:+	Murine	C57BL/6	CAGRF13029.1227	1227	CAGRF13029		3
GMP.1	GMP	Granulocyte Macrophage Progenitor	Restricted Potential Progenitor	BM	none	Lin:- cKit:- Sca1:- CD150:- CD16/32:Hi CD34:+ IL-5ra:-	Murine	C57BL/6	CAGRF7126.1377	1377	CAGRF7126	Bolden et al, 2018; 29645346	4
GMP.2	GMP	Granulocyte Macrophage Progenitor	Restricted Potential Progenitor	BM	none	Lin:- cKit:- Sca1:- CD150:- CD16/32:Hi CD34:+ IL-5ra:-	Murine	C57BL/6	CAGRF7126.1379	1379	CAGRF7126	Bolden et al, 2018; 29645346	4
GMPSigF.1	GMPSigF	Granulocyte Macrophage Progenitor SIglecF Positive	Restricted Potential Progenitor	BM	none	PI:- CD4:- CD8:- CD19:- B220:- Ter119:- Ly6C:+/- SiglecF:+ Ly6G:- SSC-A:v.lo FSC-A:In	Murine	C57BL/6	CAGRF11700.1555	1555	CAGRF11700		8
GMPSigF.2	GMPSigF	Granulocyte Macrophage Progenitor SIglecF Positive	Restricted Potential Progenitor	BM	none	PI:- CD4:- CD8:- CD19:- B220:- Ter119:- Ly6C:+/- SiglecF:+ Ly6G:- SSC-A:v.lo FSC-A:In	Murine	C57BL/6	CAGRF11700.1559	1559	CAGRF11700		8
GMPSigF.3	GMPSigF	Granulocyte Macrophage Progenitor SIglecF Positive	Restricted Potential Progenitor	BM	none	PI:- CD4:- CD8:- CD19:- B220:- Ter119:- Ly6C:+/- SiglecF:+ Ly6G:- SSC-A:v.lo FSC-A:In	Murine	C57BL/6	CAGRF11700.1570	1570	CAGRF11700		8
GMPSigF.4	GMPSigF	Granulocyte Macrophage Progenitor SIglecF Positive	Restricted Potential Progenitor	BM	none	PI:- CD4:- CD8:- CD19:- B220:- Ter119:- Ly6C:+/- SiglecF:+ Ly6G:- SSC-A:v.lo FSC-A:In	Murine	C57BL/6	CAGRF11700.1631	1631	CAGRF11700		8
GMPSigF.5	GMPSigF	Granulocyte Macrophage Progenitor SIglecF Positive	Restricted Potential Progenitor	BM	none	PI:- CD4:- CD8:- CD19:- B220:- Ter119:- Ly6C:+/- SiglecF:+ Ly6G:- SSC-A:v.lo FSC-A:In	Murine	C57BL/6	CAGRF11700.1635	1635	CAGRF11700		8
GMP_IRF8lo.1	GMP_IRF8lo	IRF8 Low Granulocyte Macrophage Progenitor	Restricted Potential Progenitor	Bone Marrow	none	Lin:- cKit:- Sca1:- CD150:- CD16/32:+ Irf8:Lo	Murine	C57BL/6 IRF8-GFP	CAGRF13029.1359	1359	CAGRF13029		5
GMP_IRF8lo.2	GMP_IRF8lo	IRF8 Low Granulocyte Macrophage Progenitor	Restricted Potential Progenitor	Bone Marrow	none	Lin:- cKit:- Sca1:- CD150:- CD16/32:+ Irf8:Lo	Murine	C57BL/6 IRF8-GFP	CAGRF13029.1360	1360	CAGRF13029		5
GMP_IRF8int.1	GMP_IRF8int	IRF8 High Granulocyte Macrophage Progenitor	Restricted Potential Progenitor	Bone Marrow	none	Lin:- cKit:- Sca1:- CD150:- CD16/32:+ Irf8:In	Murine	C57BL/6 IRF8-GFP	CAGRF13029.1362	1362	CAGRF13029		6
GMP_IRF8int.2	GMP_IRF8int	IRF8 High Granulocyte Macrophage Progenitor	Restricted Potential Progenitor	Bone Marrow	none	Lin:- cKit:- Sca1:- CD150:- CD16/32:+ Irf8:In	Murine	C57BL/6 IRF8-GFP	CAGRF13029.1363	1363	CAGRF13029		6
GMP_IRF8hi.1	GMP_IRF8hi	IRF8 High Granulocyte Macrophage Progenitor	Restricted Potential Progenitor	Bone Marrow	none	Lin:- cKit:- Sca1:- CD150:- CD16/32:+ Irf8:Hi	Murine	C57BL/6 IRF8-GFP	CAGRF13029.1365	1365	CAGRF13029		7
GMP_IRF8hi.2	GMP_IRF8hi	IRF8 High Granulocyte Macrophage Progenitor	Restricted Potential Progenitor	Bone Marrow	none	Lin:- cKit:- Sca1:- CD150:- CD16/32:+ Irf8:Hi	Murine	C57BL/6 IRF8-GFP	CAGRF13029.1366	1366	CAGRF13029		7
FcgRCD150.1	FcgRCD150	FcgammaR+ CD150+ Progenitor	Restricted Potential Progenitor	Bone Marrow	none	Lin:- cKit:+ Sca1:- CD150:+ FcgRII/III (CD16/32):+ CD9:hi	Murine	C57BL/6	CAGRF13029.1219	1219	CAGRF13029		9
FcgRCD150.2	FcgRCD150	FcgammaR+ CD150+ Progenitor	Restricted Potential Progenitor	Bone Marrow	none	Lin:- cKit:+ Sca1:- CD150:+ FcgRII/III (CD16/32):+ CD9:hi	Murine	C57BL/6	CAGRF13029.1220	1220	CAGRF13029		9
